x1,x2,txt,severe_toxic,len
11.153834,-10.090687,"YOUR ARE FUCKING GAY WAD!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 

I fucked your mum.",0,221
-19.13791,-10.629504,"Aaron Swartz 

Stop fucking reverting my goddamn edits!!! I think Aaron Swartz is a dumb-ass, and he should have been
killed a long time ago.",0,141
14.623556,-4.506175,You are a gay homo.,0,19
14.838116,6.5488977,"No, you are the racist, you goddamn neo-Nazi 

 YOU BIG BOY",0,59
5.0702615,34.230606,"You fascit Nazi! You socialist bastard! You filthy Hippy! 

You dare touch my edits again and I'll go to where you live and kick your ass in person.",1,148
9.529211,-8.312289,User:NHRHS2010 is a homo like mitt romney is.,0,45
-24.403902,-6.8903065,"FUCK OF NAZI PROPAGANDA
odpierdalcie sie jebani faszyści od Polski !!!!!!!!!!!",1,79
10.269931,17.748222,"Im sorry are you fucking stupid that nice person just gave me a warning then you fucking block me, nigger cunt eat pussy bitch",0,126
17.490019,10.476837,Actually I am fully Arabic and Islamic and the correct spelling unlike how you stupid christians have been spelling it is Mou'ammar Al Qadhdhaffy.,0,152
4.5855217,-2.5088165,"Pedophiles, sex criminals, Imperial Japan, Nazi Germany and other such degenerate ilk also are minority views and for good reason.",0,130
2.9586363,-28.377037,SmallThingy.,0,12
-20.538805,-8.167309,"Dumb Niggaz 

Yall Niggas are dumb.",1,35
3.515631,5.1718984,Hey Roy.  Go fukk yourself you gay bich.,1,8
-5.3930125,8.009202,I just got a telegram in the mail.,0,37
18.729443,14.707457,THIS DUDE THAT BLOCKED ME IS A FUCKING COCK SUCKER!!!!!!!!!! HEXACHORD SUCK SOME DICK NEGRO,1,91
7.76079,20.376863,similar concept?,0,16
31.477747,5.150632,"but ew 

He was a fαg which is against nature and is the most disgusting thing.",0,80
14.599729,20.739504,"Niggers and their liberal friends steal everything not tied down, just like the presidency here with acorn with its liberal defenders, FUCK YOU NIGGER OBOAMA!",0,158
-0.7865547,-18.41159,"terrorist 

You seem like a terrorist sir.",0,42
-17.720116,3.2501853,"LOL; charles, you are a real fag aren't you?",0,44
-3.212232,-11.8327,HOLD ON! ive got something to say to u.,0,39
4.255923,-13.979436,Are you a faggot or what?,0,25
-23.510788,-9.631275,Ah fuck it.,0,11
-12.922612,-9.032252,I'm very upset that you've done this to me and ur a big shithead !!!!! I think that ur probbly black bcuz ur stupid,0,115
-1.0130063,16.748178,"niggah 

hey fool whyd you delete my article?",0,45
18.080679,-12.851676,"ur so immature fr3nzi3,im 17 and ur not evn debating.",0,53
-6.6884084,-16.862974,"Ekgograf and his son of bitch of gang of dumb, n*zi , and are the greatest batard that ever walk on earth !!!!!",0,111
8.529448,2.0681787,Fuck my stupid muslim ass!!!!!!!!!,0,34
14.527121,6.356575,"Gays are disgusting

It's just my opinion but gays are disgusting.",0,66
-21.01228,15.667695,"I shall look forward to the day I hear of your death, and I intend to continue terrorizing you and make your life a living hell you nasty little stupid Mexican faggot.",0,167
27.949526,-4.4607224,"WIKIBITCH 

YO LIL PUNKASS AINT SHIT OUT ON DA STREETS NIGGA",0,60
9.356217,14.111595,"And I hate everything to do with China
What's with all the hate?",0,70
-13.524217,-5.7401085,"MUHAMMAD WAS A MURDERER, RAPIST, THIEF, SLAVE TRADER, WARMONGER AND DIRTY PEDOPHILE

ISLAM = NAZI",0,97
0.14788261,-10.116304,User:Abd is Muslim scum,0,23
-7.245401,-24.559177,"Shutup 

U ain't nobody, U ugly gay fag,",0,40
-6.758904,-2.676297,n i g g e r f a g g o t,1,23
-5.97812,15.449477,"fuck your couch, nigger!",1,24
20.666609,-2.119001,"Gay
I would like to request the removal of this article on the grounds that it is mad gay.",0,90
-2.73864,-5.0557437,what i wanna do im josh nanni i say fuck america and jews and ron howard,0,72
8.744517,-24.817888,You Are Still Very Gay,0,22
27.318457,6.39716,"like wtf 

look man, youre a graduate student in mathematical fucking ecology and you have pictures of amoebas on your homepage.",0,128
19.056818,3.2079759,"Regarding you being a homosexual
You are clearly a homosexual.",0,62
-14.301696,8.54882,you people are pretty overzealous with this whole free thing.,1,61
25.169613,7.4970646,"You're a stupid cunt 

Fuck you dumb arse, your mum has a hairy cunt and I hope and pray that you die, no, fuck that, I wish you would die, if I had three wishes, one of them would be to have you dead, and the others would be so that everyone you knew hated your cunt like face.",1,278
-0.650867,-0.30536905,I think it's fair to say that people who found out what infantry is by reading this article are being complete niggers.,0,119
17.212543,0.71055424,u r sooooooooooooo gay,0,22
-0.69905543,-6.507141,WHY THE FUCK DO U EDIT MY CONTRIB.,0,34
-9.158598,3.729599,"Hi, you poor twerps.",1,20
-8.259574,7.832612,"Hey white person, you suck.",0,27
0.33948144,2.8537664,"Hey queer Andrew

Stop messing around!Is your mum lesbian and father homosexual?",0,80
2.8476799,2.683219,you are gay gay gay gay gay gay,0,31
1.364919,3.7393193,Are you gay?,1,12
24.24923,-11.422222,"you are queer as volk 

you are gay man.",0,40
25.555443,5.0682635,"

Dear Jesus.",0,14
0.11751747,1.1536322,Hey i know that im just a city boy but this page was written by a bunch of dumbass redneck fuckers who worship beer and have talking bass mouunted on every wall i fucking hate rednecks and all there woodsport shit these fuckers need to get a life and learn how to use their right hand.,0,285
3.571894,33.96469,Jimbo Wales is a gay little fucker,0,34
-15.802352,-8.951579,"YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!
YOU PIECE OF ASIAN AMERICAN SCUM!",1,1699
-3.3697019,3.3920476,I dislike homos like you.,0,25
2.2976034,20.725565,Dude this guy is so gay.,0,24
-17.450607,-25.301031,"Bongwarrior 

.",0,15
6.0489807,10.737632,IN THE anus with a nigger dick in it.,0,37
2.164725,-11.031222,Where are you polish PEDERAST?,0,1
-5.1848087,19.404737,Fuck off you Paki bastard.,1,26
3.4454696,32.31878,"Bongwarrior is a homosexual prostitute 

Bongwarrior is a homosexual prostitute.",0,80
-14.695618,3.179743,"Fan-1967 is a nigger licker  

Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 is a nigger licker Fan-1967 i",0,4969
-20.689732,-5.376399,Contested deletion ,0,74
23.460514,4.839678,oi ya fag ,0,44
3.439512,32.300026,"To Bad Germany didnt win the war, we wouldnt have been subject to the crap these English sissy-boys put out.",0,112
-12.068301,11.628166,TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2010 IS A NIGGER TOMMY2,0,5000
9.96748,-13.552813,sarah palin is an ass kissing mother fucking loser with a melon in her hair.,1,76
16.908785,-15.559769,"What the fuck does a dumb Canadian polock like you know about Staten Island, New York?",0,86
3.2545373,-1.1731375,These hoe's lame on here on leaving this site yall gay and shit,0,63
-14.508307,-10.732338,MAYBE ITS BECAUSE YOU ARE A GAY,0,31
-2.3410308,7.0918756,"you are a senile old homosexual==

you need to go to Oz to get a fucking brain 

==",0,83
-10.361443,23.381205,you guys are awesome.,0,21
-0.50131714,-0.45443794,"FAKE BLOCKING 

EARLIER THAT BLOCK WAS FAKE IF YOU KNOW SO MUCH CAN YOU PLEASE STOP TOUCHING MY STUFF OR I AM GOING TO NEVER GET ON WIKIPEDIA EVER AGAIN I AM GOING TO CALL YOU GAY 10 TIMES A DAY NNNNNNNNNNNNNNNNNNNNNNNNNNIIIIIIIIIIIIIIIIIIIIIGGGGGGGGGGGGGGGGGGGGGGGGAAAAAAAAAAAAAAAAAAAAA.",0,288
